TIME,Nt,Dilution
0,28,0
0,20,0
0,23,0
0,22,0
0,23,0
0,25,0
0,21,0
0,27,0
0,17,0
0,32,0
0,19,0
0,26,0
0,45,0
0,19,0
0,24,0
0,21,0
0,28,0
0,28,0
0,21,0
0,16,0
0,24,0
0,23,0
0,23,0
0,25,0
0,26,0
0,25,0
0,24,0
0,30,0
0,29,0
0,31,0
0,19,0
0,18,0
0,25,0
0,17,0
0,20,0
0,23,0
0,24,0
0,28,0
0,24,0
0,25,0
0,30,0
0,18,0
0,13,0
0,17,0
0,32,0
0,23,0
0,25,0
0,25,0
0,21,0
0,29,0
2,34,0
2,23,0
2,18,0
2,33,0
2,40,0
2,33,0
2,30,0
2,29,0
2,14,0
2,32,0
2,32,0
2,31,0
2,21,0
2,19,0
2,16,0
2,28,0
2,35,0
2,30,0
2,31,0
2,21,0
2,33,0
2,27,0
2,23,0
2,29,0
2,31,0
2,32,0
2,27,0
2,28,0
2,29,0
2,26,0
2,28,0
2,26,0
2,29,0
2,36,0
2,28,0
2,24,0
2,42,0
2,34,0
2,31,0
2,34,0
2,22,0
2,14,0
2,27,0
2,43,0
2,23,0
2,30,0
2,25,0
2,27,0
2,30,0
2,31,0
4,58,0
4,81,0
4,93,0
4,57,0
4,98,0
4,114,0
4,96,0
4,70,0
4,75,0
4,87,0
4,82,0
4,57,0
4,83,0
4,98,0
4,83,0
4,79,0
4,68,0
4,65,0
4,66,0
4,46,0
4,117,0
4,60,0
4,89,0
4,128,0
4,100,0
4,82,0
4,60,0
4,57,0
4,109,0
4,52,0
4,62,0
4,67,0
4,77,0
4,78,0
4,94,0
4,93,0
4,61,0
4,78,0
4,68,0
4,92,0
4,90,0
4,87,0
4,80,0
4,80,0
4,77,0
4,74,0
4,81,0
4,97,0
4,62,0
4,56,0
6,21,1
6,32,1
6,36,1
6,29,1
6,34,1
6,29,1
6,30,1
6,29,1
6,29,1
6,26,1
6,26,1
6,19,1
6,36,1
6,14,1
6,13,1
6,26,1
6,43,1
6,31,1
6,30,1
6,32,1
6,31,1
6,19,1
6,35,1
6,15,1
6,41,1
6,33,1
6,36,1
6,32,1
6,19,1
6,30,1
6,36,1
6,28,1
6,30,1
6,27,1
6,41,1
6,27,1
6,29,1
6,24,1
6,32,1
6,49,1
6,27,1
6,41,1
6,29,1
6,14,1
6,29,1
6,29,1
6,28,1
6,20,1
6,41,1
6,14,1
8,24,2
8,13,2
8,7,2
8,7,2
8,17,2
8,7,2
8,15,2
8,9,2
8,11,2
8,7,2
8,12,2
8,20,2
8,22,2
8,15,2
8,8,2
8,7,2
8,11,2
8,16,2
8,19,2
8,10,2
8,16,2
8,20,2
8,16,2
8,25,2
8,13,2
8,14,2
8,13,2
8,11,2
8,18,2
8,16,2
8,8,2
8,8,2
8,16,2
8,13,2
8,8,2
8,10,2
8,17,2
8,5,2
8,12,2
8,10,2
8,32,2
8,10,2
8,17,2
8,11,2
8,15,2
8,13,2
8,6,2
8,10,2
10,80,2
10,61,2
10,80,2
10,42,2
10,96,2
10,66,2
10,100,2
10,62,2
10,110,2
10,54,2
10,56,2
10,33,2
10,80,2
10,81,2
10,63,2
10,45,2
10,114,2
10,140,2
10,65,2
10,92,2
10,97,2
10,64,2
10,49,2
10,53,2
10,55,2
10,51,2
10,69,2
10,58,2
10,101,2
10,69,2
10,108,2
10,125,2
10,53,2
10,56,2
10,76,2
10,66,2
10,100,2
10,48,2
10,71,2
10,85,2
10,68,2
10,91,2
10,51,2
10,83,2
10,51,2
10,73,2
10,44,2
10,53,2
10,69,2
10,74,2